Word1,Word2,Clue1,wordpair,correctedClue,boardnames,Level
pendulum,dusk,time,pendulum-dusk,time,board10,Hard
pendulum,dusk,time,pendulum-dusk,time,board10,Hard
pendulum,dusk,time,pendulum-dusk,time,board10,Hard
tea,bean,beverage,tea-bean,beverage,board10,Easy
tea,bean,black,tea-bean,black,board10,Easy
tea,bean,Boston,tea-bean,Boston,board10,Easy
tea,bean,cafe,tea-bean,cafe,board10,Easy
tea,bean,cafe,tea-bean,cafe,board10,Easy
tea,bean,caffeine,tea-bean,caffeine,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,coffee,tea-bean,coffee,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,drink,tea-bean,drink,board10,Easy
tea,bean,food,tea-bean,food,board10,Easy
tea,bean,green,tea-bean,green,board10,Easy
tea,bean,green,tea-bean,green,board10,Easy
tea,bean,legume,tea-bean,legume,board10,Easy
tea,bean,plant,tea-bean,plant,board10,Easy
tea,bean,roast,tea-bean,roast,board10,Easy
tea,bean,Starbucks,tea-bean,Starbucks,board10,Easy
tea,bean,time,tea-bean,time,board10,Easy
tea,bean,vanilla,tea-bean,vanilla,board10,Easy
tourist,comedy,activity,tourist-comedy,activity,board10,Medium
tourist,comedy,attraction,tourist-comedy,attraction,board10,Medium
tourist,comedy,audience,tourist-comedy,audience,board10,Medium
tourist,comedy,Aziz,tourist-comedy,Aziz,board10,Medium
tourist,comedy,Borat,tourist-comedy,Borat,board10,Medium
tourist,comedy,cinema,tourist-comedy,cinema,board10,Medium
tourist,comedy,cruise,tourist-comedy,cruise,board10,Medium
tourist,comedy,Ellen,tourist-comedy,Ellen,board10,Medium
tourist,comedy,enjoy,tourist-comedy,enjoy,board10,Medium
tourist,comedy,entertain,tourist-comedy,entertain,board10,Medium
tourist,comedy,entertain,tourist-comedy,entertain,board10,Medium
tourist,comedy,fun,tourist-comedy,fun,board10,Medium
tourist,comedy,funny,tourist-comedy,funny,board10,Medium
tourist,comedy,happy,tourist-comedy,happy,board10,Medium
tourist,comedy,Hawaii,tourist-comedy,Hawaii,board10,Medium
tourist,comedy,Las Vegas,tourist-comedy,Las Vegas,board10,Medium
tourist,comedy,laugh,tourist-comedy,laugh,board10,Medium
tourist,comedy,laugh,tourist-comedy,laugh,board10,Medium
tourist,comedy,laugh,tourist-comedy,laugh,board10,Medium
tourist,comedy,laugh,tourist-comedy,laugh,board10,Medium
tourist,comedy,performance,tourist-comedy,performance,board10,Medium
tourist,comedy,plan,tourist-comedy,plan,board10,Medium
tourist,comedy,show,tourist-comedy,show,board10,Medium
tourist,comedy,show,tourist-comedy,show,board10,Medium
tourist,comedy,sightseeing,tourist-comedy,see,board10,Medium
tourist,comedy,tacky,tourist-comedy,tacky,board10,Medium
tourist,comedy,theatre,tourist-comedy,theater,board10,Medium
tourist,comedy,ticket,tourist-comedy,ticket,board10,Medium
tourist,comedy,travel,tourist-comedy,travel,board10,Medium
tourist,comedy,travel,tourist-comedy,travel,board10,Medium
tourist,comedy,vacation,tourist-comedy,vacation,board10,Medium
beginning,brake,abrupt,beginning-brake,abrupt,board2,Hard
beginning,brake,bicycle,beginning-brake,bicycle,board2,Hard
beginning,brake,bike,beginning-brake,bike,board2,Hard
beginning,brake,car,beginning-brake,car,board2,Hard
beginning,brake,cautious,beginning-brake,cautious,board2,Hard
beginning,brake,drive,beginning-brake,drive,board2,Hard
beginning,brake,driver,beginning-brake,driver,board2,Hard
beginning,brake,end,beginning-brake,end,board2,Hard
beginning,brake,ignition,beginning-brake,ignition,board2,Hard
beginning,brake,license,beginning-brake,license,board2,Hard
beginning,brake,manual,beginning-brake,manual,board2,Hard
beginning,brake,new,beginning-brake,new,board2,Hard
beginning,brake,race,beginning-brake,race,board2,Hard
beginning,brake,restart,beginning-brake,restart,board2,Hard
beginning,brake,slow,beginning-brake,slow,board2,Hard
beginning,brake,slow,beginning-brake,slow,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,start,beginning-brake,start,board2,Hard
beginning,brake,stop,beginning-brake,stop,board2,Hard
beginning,brake,stop,beginning-brake,stop,board2,Hard
beginning,brake,stoplight,beginning-brake,stoplight,board2,Hard
beginning,brake,time,beginning-brake,time,board2,Hard
beginning,brake,time,beginning-brake,time,board2,Hard
beginning,brake,tricycle,beginning-brake,tricycle,board2,Hard
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,flight,birds-aircraft,flight,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,fly,birds-aircraft,fly,board2,Easy
birds,aircraft,sky,birds-aircraft,sky,board2,Easy
birds,aircraft,sky,birds-aircraft,sky,board2,Easy
birds,aircraft,turbine,birds-aircraft,turbine,board2,Easy
school,stop,break,school-stop,break,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,bus,school-stop,bus,board2,Medium
school,stop,cancel,school-stop,cancel,board2,Medium
school,stop,children,school-stop,children,board2,Medium
school,stop,class,school-stop,class,board2,Medium
school,stop,cross,school-stop,cross,board2,Medium
school,stop,crosswalk,school-stop,crosswalk,board2,Medium
school,stop,crosswalk,school-stop,crosswalk,board2,Medium
school,stop,crosswalk,school-stop,crosswalk,board2,Medium
school,stop,education,school-stop,education,board2,Medium
school,stop,end,school-stop,end,board2,Medium
school,stop,graduate,school-stop,graduate,board2,Medium
school,stop,graduate,school-stop,graduate,board2,Medium
school,stop,graduate,school-stop,graduate,board2,Medium
school,stop,graduation,school-stop,graduation,board2,Medium
school,stop,graduation,school-stop,graduation,board2,Medium
school,stop,learn,school-stop,learn,board2,Medium
school,stop,red,school-stop,red,board2,Medium
school,stop,safety,school-stop,safety,board2,Medium
school,stop,schedule,school-stop,schedule,board2,Medium
school,stop,sign,school-stop,sign,board2,Medium
school,stop,sky,school-stop,sky,board2,Medium
school,stop,summer,school-stop,summer,board2,Medium
school,stop,suspension,school-stop,suspend,board2,Medium
school,stop,vacation,school-stop,vacation,board2,Medium
school,stop,washu,school-stop,washu,board2,Medium
circle,dance,art,circle-dance,art,board3,Easy
circle,dance,campfire,circle-dance,campfire,board3,Easy
circle,dance,celebration,circle-dance,celebration,board3,Easy
circle,dance,celebration,circle-dance,celebration,board3,Easy
circle,dance,choreography,circle-dance,choreography,board3,Easy
circle,dance,circus,circle-dance,circus,board3,Easy
circle,dance,formation,circle-dance,formation,board3,Easy
circle,dance,group,circle-dance,group,board3,Easy
circle,dance,hula,circle-dance,hula,board3,Easy
circle,dance,K-pop,circle-dance,K-pop,board3,Easy
circle,dance,mixer,circle-dance,mixer,board3,Easy
circle,dance,moshpit,circle-dance,moshpit,board3,Easy
circle,dance,moshpit,circle-dance,moshpit,board3,Easy
circle,dance,move,circle-dance,move,board3,Easy
circle,dance,move,circle-dance,move,board3,Easy
circle,dance,movement,circle-dance,movement,board3,Easy
circle,dance,party,circle-dance,party,board3,Easy
circle,dance,party,circle-dance,party,board3,Easy
circle,dance,performance,circle-dance,performance,board3,Easy
circle,dance,prom,circle-dance,prom,board3,Easy
circle,dance,ritual,circle-dance,ritual,board3,Easy
circle,dance,round,circle-dance,round,board3,Easy
circle,dance,shape,circle-dance,shape,board3,Easy
circle,dance,social,circle-dance,social,board3,Easy
circle,dance,spin,circle-dance,spin,board3,Easy
circle,dance,spin,circle-dance,spin,board3,Easy
circle,dance,spin,circle-dance,spin,board3,Easy
circle,dance,spin,circle-dance,spin,board3,Easy
circle,dance,square,circle-dance,square,board3,Easy
circle,dance,squaredance,circle-dance,square,board3,Easy
circle,dance,twirl,circle-dance,twirl,board3,Easy
famine,calorie,anorexia,famine-calorie,anorexia,board3,Medium
famine,calorie,appetite,famine-calorie,appetite,board3,Medium
famine,calorie,deficit,famine-calorie,deficit,board3,Medium
famine,calorie,diet,famine-calorie,diet,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,food,famine-calorie,food,board3,Medium
famine,calorie,hunger,famine-calorie,hunger,board3,Medium
famine,calorie,hunger,famine-calorie,hunger,board3,Medium
famine,calorie,hunger,famine-calorie,hunger,board3,Medium
famine,calorie,hunger,famine-calorie,hunger,board3,Medium
famine,calorie,hunger,famine-calorie,hunger,board3,Medium
famine,calorie,potato,famine-calorie,potato,board3,Medium
famine,calorie,starve,famine-calorie,starve,board3,Medium
famine,calorie,starve,famine-calorie,starve,board3,Medium
famine,calorie,starve,famine-calorie,starve,board3,Medium
hundred,economy,Benjamin,hundred-economy,Benjamin,board3,Hard
hundred,economy,cash,hundred-economy,cash,board3,Hard
hundred,economy,dollar,hundred-economy,dollar,board3,Hard
hundred,economy,dollar,hundred-economy,dollar,board3,Hard
hundred,economy,dollar,hundred-economy,dollar,board3,Hard
hundred,economy,dollars,hundred-economy,dollars,board3,Hard
hundred,economy,fortune,hundred-economy,fortune,board3,Hard
hundred,economy,large,hundred-economy,large,board3,Hard
hundred,economy,monetary,hundred-economy,monetary,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,money,hundred-economy,money,board3,Hard
hundred,economy,monopoly,hundred-economy,monopoly,board3,Hard
hundred,economy,number,hundred-economy,number,board3,Hard
hundred,economy,number,hundred-economy,number,board3,Hard
hundred,economy,percentage,hundred-economy,percentage,board3,Hard
hundred,economy,price,hundred-economy,price,board3,Hard
hundred,economy,rich,hundred-economy,rich,board3,Hard
hundred,economy,rich,hundred-economy,rich,board3,Hard
hundred,economy,stock,hundred-economy,stock,board3,Hard
hundred,economy,Wall Street,hundred-economy,Wall Street,board3,Hard
corpse,fight,abuse,corpse-fight,abuse,board4,Hard
corpse,fight,battle,corpse-fight,battle,board4,Hard
corpse,fight,battle,corpse-fight,battle,board4,Hard
corpse,fight,battle,corpse-fight,battle,board4,Hard
corpse,fight,body,corpse-fight,body,board4,Hard
corpse,fight,dark,corpse-fight,dark,board4,Hard
corpse,fight,dead,corpse-fight,dead,board4,Hard
corpse,fight,dead,corpse-fight,dead,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,death,corpse-fight,death,board4,Hard
corpse,fight,fatal,corpse-fight,fatal,board4,Hard
corpse,fight,funeral,corpse-fight,funeral,board4,Hard
corpse,fight,gladiator,corpse-fight,gladiator,board4,Hard
corpse,fight,gun,corpse-fight,gun,board4,Hard
corpse,fight,Hamilton,corpse-fight,Hamilton,board4,Hard
corpse,fight,kill,corpse-fight,kill,board4,Hard
corpse,fight,knockout,corpse-fight,knockout,board4,Hard
corpse,fight,murder,corpse-fight,murder,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,war,corpse-fight,war,board4,Hard
corpse,fight,zombie,corpse-fight,zombie,board4,Hard
corpse,fight,zombie,corpse-fight,zombie,board4,Hard
graph,copy,analyze,graph-copy,analyze,board4,Medium
graph,copy,cheat,graph-copy,cheat,board4,Medium
graph,copy,computer,graph-copy,computer,board4,Medium
graph,copy,computer,graph-copy,computer,board4,Medium
graph,copy,data,graph-copy,data,board4,Medium
graph,copy,data,graph-copy,data,board4,Medium
graph,copy,document,graph-copy,document,board4,Medium
graph,copy,excel,graph-copy,excel,board4,Medium
graph,copy,excel,graph-copy,excel,board4,Medium
graph,copy,excel,graph-copy,excel,board4,Medium
graph,copy,homework,graph-copy,homework,board4,Medium
graph,copy,homework,graph-copy,homework,board4,Medium
graph,copy,homework,graph-copy,homework,board4,Medium
graph,copy,math,graph-copy,math,board4,Medium
graph,copy,math,graph-copy,math,board4,Medium
graph,copy,Microsoft,graph-copy,Microsoft,board4,Medium
graph,copy,note,graph-copy,note,board4,Medium
graph,copy,number,graph-copy,number,board4,Medium
graph,copy,office,graph-copy,office,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,paper,graph-copy,paper,board4,Medium
graph,copy,photo,graph-copy,photo,board4,Medium
graph,copy,program,graph-copy,program,board4,Medium
graph,copy,spreadsheet,graph-copy,spreadsheet,board4,Medium
graph,copy,spreadsheet,graph-copy,spreadsheet,board4,Medium
graph,copy,statistic,graph-copy,statistic,board4,Medium
graph,copy,work,graph-copy,work,board4,Medium
kitchen,egg,bacon,kitchen-egg,bacon,board4,Easy
kitchen,egg,bake,kitchen-egg,bake,board4,Easy
kitchen,egg,bake,kitchen-egg,bake,board4,Easy
kitchen,egg,bake,kitchen-egg,bake,board4,Easy
kitchen,egg,bake,kitchen-egg,bake,board4,Easy
kitchen,egg,breakfast,kitchen-egg,breakfast,board4,Easy
kitchen,egg,breakfast,kitchen-egg,breakfast,board4,Easy
kitchen,egg,breakfast,kitchen-egg,breakfast,board4,Easy
kitchen,egg,breakfast,kitchen-egg,breakfast,board4,Easy
kitchen,egg,chicken,kitchen-egg,chicken,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,cook,kitchen-egg,cook,board4,Easy
kitchen,egg,domestic,kitchen-egg,domestic,board4,Easy
kitchen,egg,food,kitchen-egg,food,board4,Easy
kitchen,egg,fry,kitchen-egg,fry,board4,Easy
kitchen,egg,fry,kitchen-egg,fry,board4,Easy
kitchen,egg,omelet,kitchen-egg,omelet,board4,Easy
kitchen,egg,scramble,kitchen-egg,scramble,board4,Easy
homeless,apartment,food,homeless-apartment,food,board5,Easy
homeless,apartment,gentrification,homeless-apartment,gentrification,board5,Easy
homeless,apartment,hobo,homeless-apartment,hobo,board5,Easy
homeless,apartment,home,homeless-apartment,home,board5,Easy
homeless,apartment,home,homeless-apartment,home,board5,Easy
homeless,apartment,home,homeless-apartment,home,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,house,homeless-apartment,house,board5,Easy
homeless,apartment,live,homeless-apartment,live,board5,Easy
homeless,apartment,live,homeless-apartment,live,board5,Easy
homeless,apartment,live,homeless-apartment,live,board5,Easy
homeless,apartment,living,homeless-apartment,living,board5,Easy
homeless,apartment,price control,homeless-apartment,price,board5,Easy
homeless,apartment,residence,homeless-apartment,residence,board5,Easy
homeless,apartment,shelter,homeless-apartment,shelter,board5,Easy
homeless,apartment,shelter,homeless-apartment,shelter,board5,Easy
homeless,apartment,shelter,homeless-apartment,shelter,board5,Easy
homeless,apartment,shelter,homeless-apartment,shelter,board5,Easy
homeless,apartment,shelter,homeless-apartment,shelter,board5,Easy
homeless,apartment,sleep,homeless-apartment,sleep,board5,Easy
homeless,apartment,welfare,homeless-apartment,welfare,board5,Easy
near,astronaut,discover,near-astronaut,discover,board5,Hard
near,astronaut,distance,near-astronaut,distance,board5,Hard
near,astronaut,distance,near-astronaut,distance,board5,Hard
near,astronaut,far,near-astronaut,far,board5,Hard
near,astronaut,land,near-astronaut,land,board5,Hard
near,astronaut,mars,near-astronaut,Mars,board5,Hard
near,astronaut,mars,near-astronaut,Mars,board5,Hard
near,astronaut,moon,near-astronaut,moon,board5,Hard
near,astronaut,moon,near-astronaut,moon,board5,Hard
near,astronaut,moon,near-astronaut,moon,board5,Hard
near,astronaut,NASA,near-astronaut,NASA,board5,Hard
near,astronaut,orbit,near-astronaut,orbit,board5,Hard
near,astronaut,rocket,near-astronaut,rocket,board5,Hard
near,astronaut,space,near-astronaut,space,board5,Hard
