,Experiment,Board,Word1,Word2,Clue1,clueCount,wordpair,union2,intersection2,union4,intersection4,union8,intersection8,union16,intersection16,union32,intersection32,union64,intersection64,union128,intersection128,union256,intersection256,union512,intersection512
28,E1,TrialList8,bad,actress,movie,6,bad - actress,105.001,0.001,154.001,0.001,163.001,0.001,172.001,2.001,193.001,4.0009999999999994,228.001,9.001,296.001,22.000999999999998,418.001,53.001,605.001,142.001
29,E1,TrialList8,bad,actress,music,1,bad - actress,0.001,0.001,7.0009999999999994,0.001,28.000999999999998,0.001,62.001,0.001,120.001,1.001,219.001,9.001,420.001,52.001,665.001,166.001,885.001,415.001
30,E1,TrialList8,bad,actress,nepotism,1,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
31,E1,TrialList8,bad,actress,Riverdale,1,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
32,E1,TrialList8,bad,actress,rot,1,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.001,0.001,5.0009999999999994,0.001,18.000999999999998,1.001,37.001,1.001
33,E1,TrialList8,bad,actress,rotten tomatoes,2,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
34,E1,TrialList8,bad,actress,soap opera,1,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
35,E1,TrialList8,bad,actress,television,1,bad - actress,0.001,0.001,6.0009999999999994,0.001,7.0009999999999994,0.001,10.001,0.001,16.000999999999998,0.001,34.001,0.001,64.001,2.001,127.001,6.0009999999999994,253.001,23.000999999999998
36,E1,TrialList8,bad,actress,terrible,1,bad - actress,8.001,0.001,17.000999999999998,0.001,23.000999999999998,0.001,27.000999999999998,0.001,31.000999999999998,0.001,41.001,0.001,70.001,1.001,117.001,3.001,206.001,15.001
37,E1,TrialList8,bad,actress,Vanessa Hudgens,1,bad - actress,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
38,E1,TrialList8,bad,actress,villain,1,bad - actress,0.001,0.001,3.001,0.001,3.001,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,5.0009999999999994,0.001,10.001,0.001,16.000999999999998,0.001,42.001,0.001
39,E1,TrialList9,bat,bounce,ball,10,bat - bounce,299.001,22.000999999999998,320.001,31.000999999999998,336.001,34.001,352.001,35.001,390.001,40.001,447.001,58.001,539.001,87.001,664.001,168.001,837.001,353.001
40,E1,TrialList9,bat,bounce,baseball,14,bat - bounce,134.001,0.001,150.001,4.0009999999999994,159.001,5.0009999999999994,165.001,6.0009999999999994,175.001,8.001,190.001,11.001,239.001,16.000999999999998,314.001,22.000999999999998,464.001,71.001
41,E1,TrialList9,bat,bounce,echolocation,1,bat - bounce,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
42,E1,TrialList9,bat,bounce,fly,2,bat - bounce,53.001,0.001,66.001,0.001,74.001,0.001,86.001,0.001,122.001,2.001,176.001,8.001,240.001,18.000999999999998,389.001,53.001,605.001,136.001
43,E1,TrialList9,bat,bounce,groundball,1,bat - bounce,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
44,E1,TrialList9,bat,bounce,hero,1,bat - bounce,0.001,0.001,1.001,0.001,1.001,0.001,3.001,0.001,6.0009999999999994,0.001,20.000999999999998,0.001,35.001,0.001,74.001,1.001,132.001,3.001
45,E1,TrialList9,bat,bounce,move,1,bat - bounce,2.001,0.001,10.001,0.001,14.001,0.001,21.000999999999998,2.001,40.001,2.001,68.001,3.001,116.001,6.0009999999999994,216.001,14.001,399.001,51.001
46,E1,TrialList9,bat,bounce,sport,1,bat - bounce,4.0009999999999994,0.001,27.000999999999998,0.001,38.001,0.001,46.001,1.001,60.001,2.001,81.001,4.0009999999999994,133.001,8.001,214.001,17.000999999999998,375.001,48.001
47,E1,TrialList2,beginning,brake,abrupt,1,beginning - brake,0.001,0.001,0.001,0.001,1.001,0.001,1.001,0.001,2.001,0.001,3.001,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,9.001,0.001
48,E1,TrialList2,beginning,brake,bicycle,1,beginning - brake,10.001,0.001,16.000999999999998,0.001,17.000999999999998,0.001,19.000999999999998,0.001,22.000999999999998,0.001,26.000999999999998,0.001,40.001,0.001,55.001,1.001,120.001,7.0009999999999994
49,E1,TrialList2,beginning,brake,bike,1,beginning - brake,22.000999999999998,0.001,31.000999999999998,0.001,36.001,0.001,42.001,0.001,49.001,0.001,64.001,0.001,88.001,1.001,140.001,3.001,242.001,14.001
50,E1,TrialList2,beginning,brake,car,1,beginning - brake,155.001,0.001,183.001,0.001,202.001,3.001,219.001,12.001,268.001,19.000999999999998,365.001,39.001,518.001,87.001,696.001,215.001,888.001,465.001
51,E1,TrialList2,beginning,brake,cautious,1,beginning - brake,0.001,0.001,0.001,0.001,0.001,0.001,1.001,0.001,2.001,0.001,5.0009999999999994,0.001,7.0009999999999994,0.001,18.000999999999998,1.001,49.001,1.001
52,E1,TrialList2,beginning,brake,drive,1,beginning - brake,0.001,0.001,15.001,0.001,19.000999999999998,0.001,25.000999999999998,1.001,39.001,1.001,73.001,2.001,134.001,3.001,251.001,22.000999999999998,437.001,54.001
53,E1,TrialList2,beginning,brake,driver,1,beginning - brake,0.001,0.001,3.001,0.001,4.0009999999999994,0.001,7.0009999999999994,0.001,13.001,0.001,17.000999999999998,0.001,32.001,0.001,63.001,0.001,127.001,2.001
54,E1,TrialList2,beginning,brake,end,1,beginning - brake,220.001,3.001,279.001,7.0009999999999994,296.001,12.001,309.001,13.001,338.001,17.000999999999998,370.001,24.000999999999998,440.001,44.001,537.001,80.001,690.001,162.001
55,E1,TrialList2,beginning,brake,ignition,1,beginning - brake,0.001,0.001,0.001,0.001,1.001,0.001,1.001,0.001,1.001,0.001,1.001,0.001,3.001,0.001,3.001,0.001,6.0009999999999994,0.001
56,E1,TrialList2,beginning,brake,license,1,beginning - brake,0.001,0.001,0.001,0.001,1.001,0.001,1.001,0.001,2.001,0.001,3.001,0.001,8.001,0.001,17.000999999999998,0.001,36.001,0.001
57,E1,TrialList2,beginning,brake,manual,1,beginning - brake,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.001,0.001,5.0009999999999994,0.001,9.001,0.001,21.000999999999998,0.001,46.001,0.001
58,E1,TrialList2,beginning,brake,new,1,beginning - brake,35.001,0.001,58.001,0.001,67.001,0.001,77.001,0.001,107.001,1.001,160.001,4.0009999999999994,245.001,16.000999999999998,376.001,43.001,584.001,122.001
59,E1,TrialList2,beginning,brake,race,1,beginning - brake,0.001,0.001,19.000999999999998,0.001,32.001,0.001,40.001,0.001,55.001,0.001,86.001,0.001,145.001,1.001,255.001,21.000999999999998,406.001,61.001
60,E1,TrialList2,beginning,brake,restart,1,beginning - brake,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.001,0.001,10.001,0.001
61,E1,TrialList2,beginning,brake,slow,2,beginning - brake,20.000999999999998,0.001,26.000999999999998,0.001,31.000999999999998,1.001,41.001,1.001,55.001,2.001,94.001,3.001,160.001,3.001,274.001,20.000999999999998,442.001,78.001
62,E1,TrialList2,beginning,brake,start,9,beginning - brake,279.001,0.001,315.001,1.001,324.001,2.001,329.001,2.001,338.001,2.001,345.001,3.001,372.001,13.001,422.001,30.000999999999998,508.001,63.001
63,E1,TrialList2,beginning,brake,stop,2,beginning - brake,243.001,0.001,287.001,9.001,297.001,11.001,307.001,17.000999999999998,324.001,21.000999999999998,356.001,26.000999999999998,418.001,55.001,522.001,111.001,686.001,219.001
64,E1,TrialList2,beginning,brake,stoplight,1,beginning - brake,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.001,0.001,2.001,0.001,3.001,0.001,4.0009999999999994,0.001
65,E1,TrialList2,beginning,brake,time,2,beginning - brake,26.000999999999998,0.001,47.001,0.001,88.001,1.001,135.001,4.0009999999999994,213.001,11.001,335.001,31.000999999999998,542.001,115.001,779.001,298.001,944.001,620.001
66,E1,TrialList2,beginning,brake,tricycle,1,beginning - brake,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.001,0.001,3.001,0.001,9.001,0.001
67,E1,TrialList2,birds,aircraft,flight,8,birds - aircraft,73.001,2.001,105.001,2.001,114.001,3.001,115.001,3.001,123.001,3.001,137.001,4.0009999999999994,178.001,10.001,233.001,20.000999999999998,337.001,37.001
68,E1,TrialList2,birds,aircraft,fly,20,birds - aircraft,150.001,5.0009999999999994,232.001,12.001,262.001,14.001,274.001,16.000999999999998,288.001,19.000999999999998,321.001,26.000999999999998,381.001,48.001,515.001,93.001,680.001,204.001
69,E1,TrialList2,birds,aircraft,sky,2,birds - aircraft,66.001,0.001,120.001,3.001,148.001,6.0009999999999994,183.001,10.001,231.001,20.000999999999998,336.001,34.001,496.001,81.001,692.001,198.001,892.001,461.001
70,E1,TrialList2,birds,aircraft,turbine,1,birds - aircraft,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
71,E1,TrialList8,breeze,bubble,air,5,breeze - bubble,70.001,0.001,98.001,0.001,111.001,2.001,125.001,2.001,148.001,4.0009999999999994,191.001,9.001,263.001,26.000999999999998,408.001,62.001,608.001,148.001
72,E1,TrialList8,breeze,bubble,bath,1,breeze - bubble,63.001,0.001,74.001,0.001,78.001,1.001,83.001,1.001,94.001,1.001,113.001,3.001,153.001,5.0009999999999994,229.001,12.001,354.001,34.001
73,E1,TrialList8,breeze,bubble,beach,1,breeze - bubble,9.001,0.001,22.000999999999998,0.001,34.001,0.001,42.001,0.001,56.001,0.001,90.001,4.0009999999999994,154.001,7.0009999999999994,266.001,32.001,463.001,74.001
74,E1,TrialList8,breeze,bubble,blow,7,breeze - bubble,79.001,0.001,107.001,1.001,110.001,1.001,113.001,1.001,118.001,1.001,134.001,2.001,153.001,4.0009999999999994,197.001,8.001,288.001,19.000999999999998
75,E1,TrialList8,breeze,bubble,effect,1,breeze - bubble,0.001,0.001,0.001,0.001,0.001,0.001,1.001,0.001,1.001,0.001,5.0009999999999994,0.001,15.001,0.001,32.001,2.001,60.001,2.001
76,E1,TrialList8,breeze,bubble,float,3,breeze - bubble,7.0009999999999994,0.001,8.001,0.001,8.001,0.001,12.001,0.001,15.001,0.001,27.000999999999998,0.001,41.001,0.001,80.001,0.001,138.001,1.001
77,E1,TrialList8,breeze,bubble,gentle,1,breeze - bubble,8.001,0.001,9.001,0.001,10.001,0.001,14.001,0.001,23.000999999999998,0.001,38.001,0.001,71.001,1.001,134.001,2.001,252.001,24.000999999999998
78,E1,TrialList8,breeze,bubble,light,2,breeze - bubble,18.000999999999998,2.001,25.000999999999998,2.001,45.001,2.001,78.001,4.0009999999999994,133.001,5.0009999999999994,227.001,15.001,411.001,59.001,689.001,190.001,904.001,481.001
79,E1,TrialList8,breeze,bubble,ocean,1,breeze - bubble,21.000999999999998,0.001,41.001,0.001,64.001,0.001,80.001,2.001,115.001,4.0009999999999994,194.001,8.001,307.001,29.000999999999998,496.001,100.001,744.001,274.001
80,E1,TrialList8,breeze,bubble,outside,1,breeze - bubble,2.001,0.001,5.0009999999999994,0.001,9.001,0.001,13.001,0.001,27.000999999999998,0.001,48.001,0.001,102.001,2.001,207.001,10.001,362.001,36.001
81,E1,TrialList8,breeze,bubble,relax,1,breeze - bubble,0.001,0.001,8.001,1.001,13.001,1.001,23.000999999999998,1.001,36.001,1.001,60.001,2.001,111.001,6.0009999999999994,205.001,14.001,378.001,49.001
82,E1,TrialList8,breeze,bubble,sea,1,breeze - bubble,23.000999999999998,0.001,35.001,0.001,55.001,0.001,67.001,0.001,107.001,0.001,179.001,5.0009999999999994,265.001,31.000999999999998,465.001,88.001,715.001,220.001
83,E1,TrialList8,breeze,bubble,soap,2,breeze - bubble,127.001,0.001,143.001,0.001,149.001,0.001,153.001,0.001,162.001,0.001,175.001,1.001,210.001,7.0009999999999994,255.001,13.001,342.001,28.000999999999998
84,E1,TrialList8,breeze,bubble,spring,1,breeze - bubble,23.000999999999998,0.001,31.000999999999998,0.001,37.001,0.001,46.001,0.001,57.001,1.001,80.001,2.001,123.001,5.0009999999999994,204.001,12.001,350.001,39.001
85,E1,TrialList8,breeze,bubble,wind,3,breeze - bubble,263.001,0.001,293.001,5.0009999999999994,297.001,6.0009999999999994,301.001,7.0009999999999994,313.001,10.001,346.001,17.000999999999998,410.001,37.001,504.001,58.001,635.001,135.001
86,E2,TrialList9,candle,wick,blank,1,candle - wick,0.001,0.001,0.001,0.001,4.0009999999999994,0.001,12.001,0.001,19.000999999999998,0.001,34.001,0.001,70.001,0.001,139.001,1.001,241.001,13.001
87,E2,TrialList9,candle,wick,board,1,candle - wick,0.001,0.001,4.0009999999999994,0.001,10.001,0.001,19.000999999999998,0.001,32.001,0.001,71.001,0.001,125.001,4.0009999999999994,228.001,11.001,405.001,55.001
88,E2,TrialList9,candle,wick,burn,8,candle - wick,69.001,2.001,108.001,4.0009999999999994,117.001,4.0009999999999994,121.001,4.0009999999999994,134.001,4.0009999999999994,152.001,4.0009999999999994,187.001,8.001,261.001,16.000999999999998,393.001,45.001
89,E2,TrialList9,candle,wick,cake,1,candle - wick,0.001,0.001,2.001,0.001,5.0009999999999994,0.001,16.000999999999998,0.001,46.001,0.001,90.001,0.001,164.001,5.0009999999999994,317.001,22.000999999999998,515.001,95.001
90,E2,TrialList9,candle,wick,fire,1,candle - wick,106.001,0.001,234.001,19.000999999999998,266.001,23.000999999999998,283.001,26.000999999999998,317.001,34.001,372.001,44.001,465.001,79.001,620.001,152.001,813.001,341.001
91,E2,TrialList9,candle,wick,flame,14,candle - wick,216.001,8.001,309.001,26.000999999999998,317.001,28.000999999999998,319.001,28.000999999999998,325.001,29.000999999999998,330.001,31.000999999999998,346.001,32.001,381.001,45.001,446.001,65.001
92,E2,TrialList9,candle,wick,holiday,1,candle - wick,0.001,0.001,0.001,0.001,4.0009999999999994,0.001,10.001,0.001,26.000999999999998,0.001,61.001,0.001,109.001,2.001,200.001,11.001,352.001,28.000999999999998
93,E2,TrialList9,candle,wick,it,1,candle - wick,0.001,0.001,0.001,0.001,1.001,0.001,6.0009999999999994,0.001,15.001,0.001,29.000999999999998,0.001,62.001,0.001,129.001,3.001,247.001,17.000999999999998
94,E2,TrialList9,candle,wick,lamp,1,candle - wick,23.000999999999998,0.001,35.001,0.001,38.001,1.001,38.001,1.001,44.001,1.001,53.001,1.001,73.001,2.001,118.001,7.0009999999999994,198.001,17.000999999999998
95,E2,TrialList9,candle,wick,light,7,candle - wick,223.001,5.0009999999999994,344.001,39.001,371.001,51.001,400.001,58.001,444.001,71.001,533.001,101.001,651.001,168.001,799.001,325.001,937.001,591.001
96,E2,TrialList9,candle,wick,match,2,candle - wick,2.001,0.001,17.000999999999998,0.001,20.000999999999998,0.001,20.000999999999998,0.001,25.000999999999998,0.001,31.000999999999998,0.001,49.001,1.001,82.001,1.001,140.001,5.0009999999999994
97,E2,TrialList9,candle,wick,melt,1,candle - wick,2.001,0.001,9.001,0.001,10.001,0.001,10.001,0.001,14.001,0.001,18.000999999999998,0.001,26.000999999999998,0.001,37.001,0.001,64.001,0.001
98,E2,TrialList9,candle,wick,smell,1,candle - wick,6.0009999999999994,0.001,24.000999999999998,0.001,31.000999999999998,0.001,46.001,1.001,70.001,2.001,141.001,6.0009999999999994,251.001,18.000999999999998,414.001,62.001,641.001,173.001
99,E2,TrialList9,candle,wick,wax,4,candle - wick,186.001,5.0009999999999994,242.001,14.001,245.001,15.001,245.001,15.001,250.001,16.000999999999998,258.001,16.000999999999998,265.001,16.000999999999998,283.001,18.000999999999998,324.001,28.000999999999998
100,E2,TrialList1,cave,knight,adventure,2,cave - knight,0.001,0.001,3.001,0.001,3.001,0.001,3.001,0.001,8.001,0.001,23.000999999999998,0.001,41.001,0.001,75.001,0.001,137.001,7.0009999999999994
101,E2,TrialList1,cave,knight,Batman,1,cave - knight,5.0009999999999994,0.001,8.001,0.001,9.001,0.001,9.001,0.001,12.001,0.001,24.000999999999998,0.001,37.001,0.001,53.001,0.001,79.001,2.001
102,E2,TrialList1,cave,knight,castle,1,cave - knight,54.001,0.001,62.001,0.001,66.001,0.001,69.001,0.001,72.001,0.001,83.001,0.001,94.001,0.001,132.001,4.0009999999999994,206.001,11.001
103,E2,TrialList1,cave,knight,dark,8,cave - knight,214.001,1.001,245.001,4.0009999999999994,250.001,5.0009999999999994,265.001,10.001,315.001,21.000999999999998,403.001,34.001,525.001,94.001,695.001,227.001,898.001,473.001
104,E2,TrialList1,cave,knight,darkness,2,cave - knight,10.001,0.001,14.001,0.001,15.001,0.001,17.000999999999998,0.001,22.000999999999998,0.001,45.001,0.001,71.001,0.001,130.001,0.001,219.001,10.001
105,E2,TrialList1,cave,knight,dragon,8,cave - knight,11.001,0.001,14.001,0.001,16.000999999999998,0.001,17.000999999999998,0.001,18.000999999999998,0.001,23.000999999999998,0.001,34.001,0.001,55.001,0.001,90.001,2.001
106,E2,TrialList1,cave,knight,dungeon,4,cave - knight,4.0009999999999994,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,6.0009999999999994,0.001,7.0009999999999994,0.001,10.001,0.001,13.001,0.001
107,E2,TrialList1,cave,knight,hide,1,cave - knight,0.001,0.001,2.001,0.001,2.001,0.001,3.001,0.001,9.001,0.001,22.000999999999998,0.001,42.001,0.001,96.001,2.001,171.001,12.001
108,E2,TrialList1,cave,knight,kingdom,1,cave - knight,0.001,0.001,3.001,0.001,4.0009999999999994,0.001,4.0009999999999994,0.001,5.0009999999999994,0.001,10.001,0.001,14.001,0.001,26.000999999999998,0.001,60.001,2.001
109,E2,TrialList1,cave,knight,medieval,7,cave - knight,11.001,0.001,15.001,0.001,18.000999999999998,0.001,18.000999999999998,0.001,18.000999999999998,0.001,19.000999999999998,0.001,19.000999999999998,0.001,23.000999999999998,0.001,29.000999999999998,0.001
110,E2,TrialList1,cave,knight,monster,1,cave - knight,0.001,0.001,1.001,0.001,3.001,0.001,5.0009999999999994,0.001,9.001,0.001,23.000999999999998,0.001,53.001,0.001,100.001,2.001,193.001,12.001
111,E2,TrialList1,cave,knight,opposite,1,cave - knight,0.001,0.001,1.001,0.001,1.001,0.001,1.001,0.001,4.0009999999999994,0.001,12.001,0.001,24.000999999999998,0.001,48.001,0.001,88.001,3.001
112,E2,TrialList1,cave,knight,protection,1,cave - knight,0.001,0.001,9.001,0.001,12.001,0.001,15.001,0.001,21.000999999999998,0.001,30.000999999999998,0.001,52.001,1.001,92.001,4.0009999999999994,163.001,7.0009999999999994
113,E2,TrialList1,cave,knight,quest,1,cave - knight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.0009999999999994,0.001,5.0009999999999994,0.001,10.001,0.001,26.000999999999998,0.001,41.001,0.001
114,E2,TrialList1,cave,knight,soldier,1,cave - knight,1.001,0.001,15.001,0.001,18.000999999999998,0.001,18.000999999999998,1.001,25.000999999999998,1.001,38.001,1.001,57.001,2.001,97.001,3.001,178.001,8.001
115,E2,TrialList1,cave,knight,valor,1,cave - knight,6.0009999999999994,0.001,9.001,0.001,10.001,0.001,10.001,0.001,11.001,0.001,15.001,0.001,20.000999999999998,0.001,23.000999999999998,0.001,33.001,1.001
116,E2,TrialList1,cave,knight,warrior,2,cave - knight,6.0009999999999994,0.001,11.001,0.001,14.001,0.001,15.001,0.001,17.000999999999998,0.001,19.000999999999998,0.001,26.000999999999998,0.001,36.001,0.001,55.001,0.001
117,E2,TrialList1,cave,knight,warrior{space}tunnel,1,cave - knight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
118,E2,TrialList10,chair,table,desk,3,chair - table,28.000999999999998,0.001,35.001,1.001,36.001,1.001,36.001,1.001,44.001,1.001,58.001,2.001,91.001,3.001,134.001,5.0009999999999994,240.001,21.000999999999998
119,E2,TrialList10,chair,table,dine,8,chair - table,7.0009999999999994,0.001,11.001,0.001,14.001,0.001,14.001,0.001,14.001,0.001,19.000999999999998,0.001,32.001,0.001,63.001,1.001,103.001,4.0009999999999994
120,E2,TrialList10,chair,table,dining,1,chair - table,29.000999999999998,0.001,33.001,0.001,33.001,0.001,36.001,0.001,37.001,0.001,41.001,0.001,48.001,0.001,57.001,0.001,77.001,1.001
121,E2,TrialList10,chair,table,dining room,1,chair - table,6.0009999999999994,0.001,9.001,0.001,9.001,0.001,10.001,0.001,10.001,0.001,11.001,0.001,12.001,0.001,14.001,0.001,16.000999999999998,0.001
122,E2,TrialList10,chair,table,dinner,6,chair - table,51.001,0.001,78.001,0.001,89.001,0.001,97.001,0.001,103.001,0.001,127.001,0.001,183.001,5.0009999999999994,296.001,24.000999999999998,474.001,80.001
123,E2,TrialList10,chair,table,furniture,16,chair - table,17.000999999999998,0.001,26.000999999999998,0.001,29.000999999999998,0.001,32.001,0.001,34.001,0.001,42.001,0.001,76.001,0.001,111.001,2.001,189.001,9.001
